w_v_nm,solar_E_wm2um,a_ozone,a_umg,a_water,cloud_a_i,cloud_b_i,cloud_c_i,cloud_d_i,cloud_e_i,cloud_f_i
350,0.961,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
351,0.953,0.012,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
352,0.949,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
353,1.056,0.006,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
354,1.122,0.004,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
355,1.078,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
356,1.047,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
357,0.879,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
358,0.752,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
359,0.919,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
360,1.062,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
361,1.054,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
362,1.047,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
363,1.024,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
364,0.998,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
365,1.108,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
366,1.259,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
367,1.221,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
368,1.156,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
369,1.184,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
370,1.197,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
371,1.162,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
372,1.144,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
373,1.027,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
374,0.953,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
375,1.004,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
376,1.004,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
377,1.317,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
378,1.317,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
379,1.141,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
380,1.139,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
381,1.115,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
382,1.083,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
383,0.821,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
384,0.858,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
385,1.029,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
386,1.026,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
387,0.995,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
388,1.01,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
389,1.145,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
390,1.152,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
391,1.263,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
392,1.115,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
393,0.733,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
394,0.852,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
395,1.25,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
396,1.071,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
397,0.853,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
398,1.25,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
399,1.515,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
400,1.674,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
401,1.721,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
402,1.799,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
403,1.719,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
404,1.638,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
405,1.651,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
406,1.663,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
407,1.681,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
408,1.698,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
409,1.65,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
410,1.621,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
411,1.74,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
412,1.812,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
413,1.755,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
414,1.74,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
415,1.781,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
416,1.791,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
417,1.715,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
418,1.701,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
419,1.663,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
420,1.124,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
421,1.823,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
422,1.76,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
423,1.657,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
424,1.693,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
425,1.748,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
426,1.691,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
427,1.673,0,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
428,1.656,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
429,1.65,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
430,1.407,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
431,1.351,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
432,1.727,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
433,1.805,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
434,1.69,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
435,1.767,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
436,1.835,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
437,1.845,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
438,1.792,0.002,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
439,1.673,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
440,1.711,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
441,1.796,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
442,1.892,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
443,1.957,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
444,1.961,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
445,1.963,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
446,1.856,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
